action_name,sessions,valid_frames,human_instances,subjects,scenes,router_configurations,subset_types
cross_2p_accel,12,50,100,12,2,7,regular
cross_2p_accel2,12,49,98,12,2,7,regular
cross_2p_const,12,49,98,12,2,7,regular
cross_2p_const2,12,47,94,12,2,7,regular
cross_3p_accel,2,6,18,4,1,2,regular
cross_3p_accel2,2,7,21,4,1,2,regular
cross_3p_const,2,11,33,4,1,2,regular
cross_3p_const2,2,12,36,4,1,2,regular
lie_down,43,315,446,12,2,7,regular
newlab_nothing,1,0,0,1,1,1,physical_occlusion
nothing,4,0,0,0,1,4,regular
occlusion_full,20,194,194,8,2,5,regular
occlusion_lower,43,345,467,12,2,7,regular
occlusion_upper,43,133,211,12,2,7,regular
pick_up,70,566,741,12,3,8,"physical_occlusion,regular"
sit_occlusion_full,27,243,243,3,1,1,physical_occlusion
sit_occlusion_lower,27,214,214,3,1,1,physical_occlusion
sit_still,43,402,593,12,2,7,regular
sit_to_stand,70,613,801,12,3,8,"physical_occlusion,regular"
squat,70,609,799,12,3,8,"physical_occlusion,regular"
stand_occlusion_full,27,292,292,3,1,1,physical_occlusion
stand_occlusion_lower,27,231,231,3,1,1,physical_occlusion
stand_occlusion_upper,27,185,185,3,1,1,physical_occlusion
stand_still,43,390,551,12,2,7,regular
walk_away_accel,42,231,322,12,2,7,regular
walk_away_const,42,259,336,12,2,7,regular
walk_towards_accel,43,280,381,12,2,7,regular
walk_towards_const,43,265,359,12,2,7,regular
wave,70,616,772,12,3,8,"physical_occlusion,regular"
work_side,43,373,524,12,2,7,regular
