subject_id,action_name,sessions,valid_frames,human_instances
K1,cross_2p_accel,2,10,10
K1,cross_2p_accel2,2,12,12
K1,cross_2p_const,2,9,9
K1,cross_2p_const2,2,10,10
K1,cross_3p_accel,1,2,2
K1,cross_3p_accel2,1,2,2
K1,cross_3p_const,1,4,4
K1,cross_3p_const2,1,6,6
K1,lie_down,7,96,96
K1,occlusion_full,4,55,55
K1,occlusion_lower,6,78,78
K1,occlusion_upper,5,20,20
K1,pick_up,12,160,160
K1,sit_occlusion_full,6,84,84
K1,sit_occlusion_lower,5,72,72
K1,sit_still,8,116,116
K1,sit_to_stand,14,195,195
K1,squat,13,186,186
K1,stand_occlusion_full,7,101,101
K1,stand_occlusion_lower,5,71,71
K1,stand_occlusion_upper,5,71,71
K1,stand_still,8,101,101
K1,walk_away_accel,7,57,57
K1,walk_away_const,7,57,57
K1,walk_towards_accel,8,65,65
K1,walk_towards_const,8,65,65
K1,wave,12,170,170
K1,work_side,7,89,89
K2,cross_2p_accel,1,6,6
K2,cross_2p_accel2,1,7,7
K2,cross_2p_const,1,7,7
K2,cross_2p_const2,1,6,6
K2,cross_3p_accel,2,6,6
K2,cross_3p_accel2,2,7,7
K2,cross_3p_const,2,11,11
K2,cross_3p_const2,2,12,12
K2,lie_down,5,57,57
K2,occlusion_full,2,17,17
K2,occlusion_lower,5,59,59
K2,occlusion_upper,4,33,33
K2,pick_up,6,82,82
K2,sit_still,6,88,88
K2,sit_to_stand,6,88,88
K2,squat,6,86,86
K2,stand_still,6,74,74
K2,walk_away_accel,5,49,49
K2,walk_away_const,5,44,44
K2,walk_towards_accel,6,44,44
K2,walk_towards_const,6,43,43
K2,wave,5,71,71
K2,work_side,6,73,73
K3,cross_2p_accel,5,34,34
K3,cross_2p_accel2,5,35,35
K3,cross_2p_const,5,32,32
K3,cross_2p_const2,5,32,32
K3,cross_3p_accel,2,6,6
K3,cross_3p_accel2,2,7,7
K3,cross_3p_const,2,11,11
K3,cross_3p_const2,2,12,12
K3,lie_down,11,142,142
K3,occlusion_full,4,40,40
K3,occlusion_lower,10,122,122
K3,occlusion_upper,10,62,62
K3,pick_up,21,254,254
K3,sit_occlusion_full,9,130,130
K3,sit_occlusion_lower,7,100,100
K3,sit_still,12,173,173
K3,sit_to_stand,21,252,252
K3,squat,21,293,293
K3,stand_occlusion_full,9,133,133
K3,stand_occlusion_lower,9,132,132
K3,stand_occlusion_upper,7,100,100
K3,stand_still,12,159,159
K3,walk_away_accel,11,98,98
K3,walk_away_const,11,94,94
K3,walk_towards_accel,12,109,109
K3,walk_towards_const,12,103,103
K3,wave,20,287,287
K3,work_side,11,146,146
K4,cross_2p_accel,3,29,29
K4,cross_2p_accel2,3,27,27
K4,cross_2p_const,3,26,26
K4,cross_2p_const2,3,26,26
K4,cross_3p_accel,1,4,4
K4,cross_3p_accel2,1,5,5
K4,cross_3p_const,1,7,7
K4,cross_3p_const2,1,6,6
K4,lie_down,6,68,68
K4,occlusion_full,4,37,37
K4,occlusion_lower,8,107,107
K4,occlusion_upper,8,74,74
K4,pick_up,11,141,141
K4,sit_occlusion_full,2,29,29
K4,sit_occlusion_lower,3,42,42
K4,sit_still,8,114,114
K4,sit_to_stand,13,162,162
K4,squat,10,132,132
K4,stand_occlusion_full,4,58,58
K4,stand_occlusion_lower,2,28,28
K4,stand_occlusion_upper,1,14,14
K4,stand_still,8,115,115
K4,walk_away_accel,7,71,71
K4,walk_away_const,8,85,85
K4,walk_towards_accel,8,89,89
K4,walk_towards_const,8,76,76
K4,wave,10,143,143
K4,work_side,8,114,114
K5,cross_2p_accel,2,16,16
K5,cross_2p_accel2,2,14,14
K5,cross_2p_const,2,17,17
K5,cross_2p_const2,2,15,15
K5,lie_down,4,48,48
K5,occlusion_full,2,21,21
K5,occlusion_lower,4,57,57
K5,occlusion_upper,4,20,20
K5,pick_up,4,59,59
K5,sit_still,4,57,57
K5,sit_to_stand,4,59,59
K5,squat,4,58,58
K5,stand_still,4,58,58
K5,walk_away_accel,4,32,32
K5,walk_away_const,4,34,34
K5,walk_towards_accel,4,43,43
K5,walk_towards_const,4,42,42
K5,wave,4,58,58
K5,work_side,4,58,58
K6,cross_2p_accel,1,5,5
K6,cross_2p_accel2,1,3,3
K6,cross_2p_const,1,7,7
K6,cross_2p_const2,1,5,5
K6,lie_down,3,35,35
K6,occlusion_full,2,24,24
K6,occlusion_lower,3,44,44
K6,occlusion_upper,2,2,2
K6,pick_up,3,45,45
K6,sit_still,3,45,45
K6,sit_to_stand,3,45,45
K6,squat,3,44,44
K6,stand_still,3,44,44
K6,walk_away_accel,3,15,15
K6,walk_away_const,3,22,22
K6,walk_towards_accel,3,31,31
K6,walk_towards_const,3,30,30
K6,wave,3,43,43
K6,work_side,3,44,44
